cell_type,cytokine,count,scaled_count
B Intermediate/Memory,4-1BBL,3661,0.3661
B Intermediate/Memory,ADSF,3600,0.36
B Intermediate/Memory,APRIL,2302,0.2302
B Intermediate/Memory,BAFF,2623,0.2623
B Intermediate/Memory,C3a,2721,0.2721
B Intermediate/Memory,C5a,2602,0.2602
B Intermediate/Memory,CD27L,4026,0.4026
B Intermediate/Memory,CD30L,3479,0.3479
B Intermediate/Memory,CD40L,3450,0.345
B Intermediate/Memory,CT-1,4260,0.426
B Intermediate/Memory,Decorin,3281,0.3281
B Intermediate/Memory,EGF,3540,0.354
B Intermediate/Memory,EPO,3434,0.3434
B Intermediate/Memory,FGF-beta,2884,0.2884
B Intermediate/Memory,FLT3L,3157,0.3157
B Intermediate/Memory,FasL,3570,0.357
B Intermediate/Memory,G-CSF,3463,0.3463
B Intermediate/Memory,GDNF,2892,0.2892
B Intermediate/Memory,GITRL,2967,0.2967
B Intermediate/Memory,GM-CSF,3601,0.3601
B Intermediate/Memory,HGF,2955,0.2955
B Intermediate/Memory,IFN-alpha1,4284,0.4284
B Intermediate/Memory,IFN-beta,3208,0.3208
B Intermediate/Memory,IFN-epsilon,3861,0.3861
B Intermediate/Memory,IFN-gamma,3495,0.3495
B Intermediate/Memory,IFN-lambda1,3659,0.3659
B Intermediate/Memory,IFN-lambda2,3825,0.3825
B Intermediate/Memory,IFN-lambda3,3173,0.3173
B Intermediate/Memory,IFN-omega,3598,0.3598
B Intermediate/Memory,IGF-1,3114,0.3114
B Intermediate/Memory,IL-1-alpha,3147,0.3147
B Intermediate/Memory,IL-1-beta,3112,0.3112
B Intermediate/Memory,IL-1Ra,3140,0.314
B Intermediate/Memory,IL-2,4267,0.4267
B Intermediate/Memory,IL-3,3394,0.3394
B Intermediate/Memory,IL-4,4599,0.4599
B Intermediate/Memory,IL-5,3166,0.3166
B Intermediate/Memory,IL-6,3163,0.3163
B Intermediate/Memory,IL-7,4858,0.4858
B Intermediate/Memory,IL-8,3134,0.3134
B Intermediate/Memory,IL-9,4235,0.4235
B Intermediate/Memory,IL-10,2721,0.2721
B Intermediate/Memory,IL-11,2974,0.2974
B Intermediate/Memory,IL-12,3851,0.3851
B Intermediate/Memory,IL-13,4110,0.411
B Intermediate/Memory,IL-15,5011,0.5011
B Intermediate/Memory,IL-16,2644,0.2644
B Intermediate/Memory,IL-17A,3235,0.3235
B Intermediate/Memory,IL-17B,2490,0.249
B Intermediate/Memory,IL-17C,2916,0.2916
B Intermediate/Memory,IL-17D,3407,0.3407
B Intermediate/Memory,IL-17E,3636,0.3636
B Intermediate/Memory,IL-17F,3787,0.3787
B Intermediate/Memory,IL-18,3092,0.3092
B Intermediate/Memory,IL-19,3199,0.3199
B Intermediate/Memory,IL-20,3606,0.3606
B Intermediate/Memory,IL-21,4168,0.4168
B Intermediate/Memory,IL-22,3055,0.3055
B Intermediate/Memory,IL-23,3763,0.3763
B Intermediate/Memory,IL-24,2864,0.2864
B Intermediate/Memory,IL-26,3032,0.3032
B Intermediate/Memory,IL-27,3543,0.3543
B Intermediate/Memory,IL-31,3519,0.3519
B Intermediate/Memory,IL-32-beta,2754,0.2754
B Intermediate/Memory,IL-33,3681,0.3681
B Intermediate/Memory,IL-34,3529,0.3529
B Intermediate/Memory,IL-35,2747,0.2747
B Intermediate/Memory,IL-36-alpha,4459,0.4459
