cytokine,B Intermediate/Memory,B Naive,CD4 Memory,CD4 Naive,CD8 Memory,CD8 Naive,CD14 Mono,CD16 Mono,HSPC,ILC,MAIT,NK,NK CD56bright,NKT,Plasmablast,Treg,cDC,pDC
4-1BBL,0.3661,0.7225,2.7481,1.8711,0.8148,0.6737,1.8826,0.2537,0.0176,0.0112,0.3582,0.5918,0.1409,0.1643,0.0077,0.1643,0.1149,0.0178
ADSF,0.36,0.7148,2.4852,2.0868,0.7851,0.7515,1.6885,0.2512,0.0183,0.0094,0.3785,0.5767,0.1403,0.1957,0.0069,0.2391,0.1079,0.0183
APRIL,0.2302,0.4377,1.6879,1.2908,0.5824,0.4838,1.2147,0.1892,0.0144,0.0063,0.2595,0.3965,0.0952,0.1476,0.0048,0.1246,0.0827,0.008
BAFF,0.2623,0.4821,1.8094,1.4449,0.6567,0.5076,1.2326,0.1823,0.0123,0.0055,0.2714,0.4078,0.0997,0.1413,0.0038,0.1336,0.0766,0.0109
C3a,0.2721,0.5593,2.2921,1.3905,0.7136,0.5082,1.3518,0.2083,0.0182,0.0096,0.2932,0.4665,0.1169,0.174,0.0047,0.143,0.0908,0.0152
C5a,0.2602,0.5003,1.7945,1.5191,0.6485,0.5618,1.666,0.2011,0.0145,0.0068,0.2578,0.4241,0.101,0.1118,0.0038,0.121,0.0833,0.0156
CD27L,0.4026,0.7443,2.8252,1.9243,0.8677,0.7005,1.7591,0.2719,0.0198,0.0086,0.3615,0.5885,0.1443,0.1863,0.0078,0.1887,0.135,0.0237
CD30L,0.3479,0.6838,2.2829,2.0465,0.794,0.7381,1.6049,0.252,0.0218,0.0097,0.3613,0.574,0.1352,0.1732,0.0064,0.1898,0.1038,0.0186
CD40L,0.345,0.5274,1.9904,1.57,0.6421,0.5845,1.5355,0.2162,0.0162,0.0068,0.2991,0.4695,0.1115,0.1485,0.0055,0.165,0.1047,0.0167
CT-1,0.426,0.7404,3.0963,2.8021,1.0464,0.8461,2.2405,0.3183,0.0245,0.012,0.463,0.7411,0.1838,0.2634,0.0089,0.2521,0.1802,0.0448
Decorin,0.3281,0.633,2.3956,1.9178,0.7609,0.6982,1.6549,0.2387,0.0203,0.0095,0.338,0.5543,0.1243,0.183,0.0047,0.1706,0.1039,0.0159
EGF,0.354,0.6713,2.3739,2.0012,0.792,0.7135,1.7021,0.265,0.0205,0.0096,0.3746,0.548,0.1296,0.1593,0.0077,0.1738,0.1133,0.0174
EPO,0.3434,0.6239,2.0802,1.7301,0.7088,0.6222,1.601,0.2427,0.0155,0.0079,0.3393,0.4969,0.1234,0.1799,0.0063,0.1568,0.1037,0.0146
FGF-beta,0.2884,0.5741,2.0852,1.6689,0.6915,0.6045,1.524,0.2248,0.0164,0.0061,0.2986,0.502,0.1187,0.1447,0.0064,0.1559,0.1048,0.021
FLT3L,0.3157,0.6371,2.6465,1.5433,0.7686,0.5791,1.4987,0.2331,0.0163,0.0083,0.3277,0.5494,0.1215,0.1558,0.0053,0.1426,0.1129,0.0186
FasL,0.357,0.7104,2.389,1.9413,0.7798,0.7316,1.6315,0.2406,0.0189,0.0103,0.3578,0.5715,0.1316,0.1643,0.0052,0.1773,0.1112,0.0158
G-CSF,0.3463,0.672,2.7286,2.25,0.8708,0.7188,2.1169,0.3061,0.0191,0.0129,0.3917,0.6418,0.155,0.175,0.0081,0.2031,0.135,0.0322
GDNF,0.2892,0.5451,2.1067,1.5694,0.7342,0.5876,1.4324,0.2058,0.0165,0.0088,0.3203,0.4867,0.1185,0.1783,0.0044,0.1555,0.0837,0.0104
GITRL,0.2967,0.5564,2.0589,1.5817,0.7023,0.5911,1.4478,0.2073,0.0128,0.0066,0.3066,0.4708,0.1096,0.1635,0.0052,0.1495,0.0935,0.013
GM-CSF,0.3601,0.6408,2.0737,2.0984,0.7075,0.6966,1.8736,0.2168,0.0201,0.0116,0.2505,0.5167,0.116,0.128,0.0058,0.1653,0.1346,0.036
HGF,0.2955,0.594,2.1843,1.5832,0.6781,0.5721,1.5414,0.2291,0.014,0.0076,0.3228,0.4579,0.1147,0.1242,0.0049,0.1509,0.1027,0.0159
IFN-alpha1,0.4284,0.7271,2.7196,2.1743,0.9044,0.734,1.7268,0.276,0.0226,0.0119,0.3268,0.5837,0.1385,0.1319,0.0084,0.2046,0.1504,0.0471
IFN-beta,0.3208,0.6443,2.8365,1.4966,0.8629,0.5969,1.2737,0.1714,0.0153,0.0062,0.1753,0.4705,0.1053,0.0188,0.0059,0.1739,0.3174,0.0413
