V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
0,CD80,2.73607,0,0,Inf,red,Up,
1,YPEL5,2.0320117,0,0,Inf,red,Up,
2,TWSG1,3.6071162,0,0,Inf,red,Up,
3,SLC5A3,2.0932968,1.16548274207162e-308,4.27293887766523e-306,305.369273319512,red,Up,
4,CCL17,3.8386905,2.54400753110698e-307,9.33234471774808e-304,303.030009227631,red,Up,
5,MTHFD2,2.0592263,1.54807171935836e-306,5.2056491682957e-303,302.283525104265,red,Up,
6,MRPS6,2.1233861,1.47205858579187e-297,4.56926985029797e-294,293.340153192779,red,Up,
7,ITGA4,1.6301166,2.35403824512534e-294,6.78501080480696e-291,290.16844945641,red,Up,
8,GCNT1,2.1070058,9.45850660632263e-283,2.38543536611457e-279,278.622432346248,red,Up,
9,IRF4,1.4070175,1.00405718454822e-276,2.38327738299351e-273,272.622825408391,red,Up,
10,CDKN1A,1.5433916,1.80439364517889e-266,4.04504957612548e-263,262.393076151306,red,Up,
11,CAMK1D,1.7481406,1.28430518684376e-259,2.59121414497597e-256,255.586496694255,red,Up,
12,HUWE1,1.164044,3.29647968931844e-238,6.04634311015354e-235,234.218507211671,red,Up,
13,IKZF1,0.9745882,9.12471797316795e-232,1.60087225936206e-228,227.795643320965,black,NS,
14,ZC3H7B,1.376962,1.01152366432726e-228,1.7007084542889e-225,224.769370129389,red,Up,
15,TRIB1,1.9820005,5.41306268644801e-226,8.737116220942e-223,222.058631887273,red,Up,
16,CCL22,2.1657395,1.46405404274857e-222,2.18805587899965e-219,218.659941591099,red,Up,
17,UGCG,1.5387299,1.02459948710719e-208,1.42567718978446e-205,204.845978798864,red,Up,
18,TGFBR1,1.4589258,1.76220264826904e-195,2.2938193955791e-192,191.639440779369,red,Up,
19,NCOR2,0.9023532,3.60993472303833e-195,4.55212768575133e-192,191.341785564618,black,NS,
20,FSCN1,1.0913681,4.10448897072126e-195,5.01891936201649e-192,191.299389781985,red,Up,
21,VIM,1.087059,3.41386682567952e-191,3.82656539305056e-188,187.417190860513,red,Up,
22,ANXA11,1.275339,4.67628681343604e-191,5.09993312150733e-188,187.29243551903,red,Up,
23,SLC35F3,4.642243,3.40314745554326e-189,3.61378437173899e-186,185.442037764602,red,Up,
24,HLA-C,0.9525137,6.24072073137424e-189,6.45706571672854e-186,185.189964793543,black,NS,
25,PIK3CG,2.44215,2.61809655270897e-188,2.64113580237281e-185,184.578209267591,red,Up,
26,CASZ1,1.830631,3.27200346955227e-187,3.22028985374081e-184,183.492105036312,red,Up,
27,STK24,1.0294017,6.23223234537284e-180,5.84844278140662e-177,176.232959754682,red,Up,
28,HSPA8,1.1732249,1.55285697792627e-174,1.33321031432512e-171,170.875101335098,red,Up,
29,TPM3,0.7846923,1.22608619146882e-173,1.00969448975816e-170,169.995810013825,black,NS,
30,BHLHE40,1.4770793,1.51331531202865e-172,1.2213059894196e-169,168.913175513068,red,Up,
31,PDS5B,1.101488,2.57831148154855e-171,2.04000048830288e-168,167.69036972862,red,Up,
32,BCL2L1,1.8113576,5.5302372541637e-171,4.29146410923103e-168,167.367394515256,red,Up,
33,CCNG2,1.5138267,1.23362427209909e-167,9.3923031373099e-165,164.027227898982,red,Up,
34,SUZ12,1.2829709,9.48246836546884e-165,6.83279577648926e-162,161.165401559589,red,Up,
35,ANXA3,2.9374483,1.78859072049006e-157,1.22327479242737e-154,153.91247597352,red,Up,
36,AHNAK,1.0459533,2.24314052677028e-153,1.45992268606829e-150,149.835670142779,red,Up,
37,ST3GAL5,1.1864775,7.91034747369819e-153,4.98747408216671e-150,149.302119348148,red,Up,
38,TXN,1.0293231,9.28317528048454e-148,5.59096550624048e-145,144.252513187136,red,Up,
39,ARPC2,0.7163366,2.48538571872026e-147,1.47485712532059e-144,143.831250049306,black,NS,
40,MAP2K1,1.0696322,4.61684534709693e-145,2.69998468762399e-142,141.568638698841,red,Up,
41,RPL10,1.537974,5.90969817015646e-145,3.40668772231648e-142,141.467667674677,red,Up,
42,MITF,2.5800674,6.804507720084e-144,3.86726050029338e-141,140.412596572683,red,Up,
43,ERN1,1.2086692,5.35595234724743e-143,2.95236252672514e-140,139.529830315653,red,Up,
