gene,logfoldchanges,pvals,pvals_adj,cell_cytokine,cell_type,cytokine
OLAH,-1.0523217,0.993375896505727,1,B_IntermediateMemory_4-1BBL,B_IntermediateMemory,4-1BBL
OLAH,0.98630524,0.993062375152324,1,B_IntermediateMemory_ADSF,B_IntermediateMemory,ADSF
OLAH,-18.050383,0.988198004447239,1,B_IntermediateMemory_APRIL,B_IntermediateMemory,APRIL
OLAH,-18.050383,0.987486671929764,1,B_IntermediateMemory_BAFF,B_IntermediateMemory,BAFF
OLAH,1.9422884,0.962831947305726,1,B_IntermediateMemory_C3a,B_IntermediateMemory,C3a
OLAH,-18.050383,0.98753139829782,1,B_IntermediateMemory_C5a,B_IntermediateMemory,C5a
OLAH,1.1818814,0.975117693449493,1,B_IntermediateMemory_CD27L,B_IntermediateMemory,CD27L
OLAH,1.2363265,0.970715367406993,1,B_IntermediateMemory_CD30L,B_IntermediateMemory,CD30L
OLAH,-18.050383,0.985890421018843,1,B_IntermediateMemory_CD40L,B_IntermediateMemory,CD40L
OLAH,-18.050383,0.984571411200521,1,B_IntermediateMemory_CT-1,B_IntermediateMemory,CT-1
OLAH,1.0516781,0.968895770392844,1,B_IntermediateMemory_Decorin,B_IntermediateMemory,Decorin
OLAH,-1.5110747,0.992759639371508,1,B_IntermediateMemory_EGF,B_IntermediateMemory,EGF
OLAH,1.9875615,0.948458259718885,1,B_IntermediateMemory_EPO,B_IntermediateMemory,EPO
OLAH,-0.07702672,0.992912782870777,1,B_IntermediateMemory_FasL,B_IntermediateMemory,FasL
OLAH,-18.050383,0.986949760219091,1,B_IntermediateMemory_FGF-beta,B_IntermediateMemory,FGF-beta
OLAH,-18.050383,0.9864223648777,1,B_IntermediateMemory_FLT3L,B_IntermediateMemory,FLT3L
OLAH,-0.22812116,0.992354002422115,1,B_IntermediateMemory_G-CSF,B_IntermediateMemory,G-CSF
OLAH,-0.44029784,0.988955512007701,1,B_IntermediateMemory_GDNF,B_IntermediateMemory,GDNF
OLAH,-0.3521123,0.989446826208737,1,B_IntermediateMemory_GITRL,B_IntermediateMemory,GITRL
OLAH,1.1093935,0.971776520194281,1,B_IntermediateMemory_GM-CSF,B_IntermediateMemory,GM-CSF
OLAH,-18.050383,0.986809418172792,1,B_IntermediateMemory_HGF,B_IntermediateMemory,HGF
OLAH,-0.25362176,0.996198569309211,1,B_IntermediateMemory_IFN-alpha1,B_IntermediateMemory,IFN-alpha1
OLAH,-18.050383,0.98632736172349,1,B_IntermediateMemory_IFN-beta,B_IntermediateMemory,IFN-beta
OLAH,1.4964458,0.973874503032004,1,B_IntermediateMemory_IFN-epsilon,B_IntermediateMemory,IFN-epsilon
OLAH,-18.050383,0.985811574653713,1,B_IntermediateMemory_IFN-gamma,B_IntermediateMemory,IFN-gamma
OLAH,-18.050383,0.985530207883658,1,B_IntermediateMemory_IFN-lambda1,B_IntermediateMemory,IFN-lambda1
OLAH,0.40472832,0.994168984803658,1,B_IntermediateMemory_IFN-lambda2,B_IntermediateMemory,IFN-lambda2
OLAH,0.028506188,0.990719347447645,1,B_IntermediateMemory_IFN-lambda3,B_IntermediateMemory,IFN-lambda3
OLAH,-0.5359282,0.993058172693907,1,B_IntermediateMemory_IFN-omega,B_IntermediateMemory,IFN-omega
OLAH,1.781303,0.967236750993875,1,B_IntermediateMemory_IGF-1,B_IntermediateMemory,IGF-1
OLAH,-18.050383,0.986441117644514,1,B_IntermediateMemory_IL-1-alpha,B_IntermediateMemory,IL-1-alpha
OLAH,-18.050383,0.986507079060061,1,B_IntermediateMemory_IL-1-beta,B_IntermediateMemory,IL-1-beta
OLAH,-0.13202073,0.987774148653337,1,B_IntermediateMemory_IL-10,B_IntermediateMemory,IL-10
OLAH,-18.050383,0.986772252307626,1,B_IntermediateMemory_IL-11,B_IntermediateMemory,IL-11
OLAH,-0.008932122,0.994291543630417,1,B_IntermediateMemory_IL-12,B_IntermediateMemory,IL-12
OLAH,0.39553592,0.995460351170408,1,B_IntermediateMemory_IL-13,B_IntermediateMemory,IL-13
OLAH,-18.050383,0.983506841527311,1,B_IntermediateMemory_IL-15,B_IntermediateMemory,IL-15
OLAH,-18.050383,0.987442182781102,1,B_IntermediateMemory_IL-16,B_IntermediateMemory,IL-16
OLAH,-18.050383,0.986277490740597,1,B_IntermediateMemory_IL-17A,B_IntermediateMemory,IL-17A
OLAH,1.9436365,0.959829393388554,1,B_IntermediateMemory_IL-17B,B_IntermediateMemory,IL-17B
OLAH,-18.050383,0.9868862197739,1,B_IntermediateMemory_IL-17C,B_IntermediateMemory,IL-17C
OLAH,-18.050383,0.985966447154938,1,B_IntermediateMemory_IL-17D,B_IntermediateMemory,IL-17D
OLAH,2.3999822,0.950905389989091,1,B_IntermediateMemory_IL-17E,B_IntermediateMemory,IL-17E
OLAH,0.7105083,0.973300831475306,1,B_IntermediateMemory_IL-17F,B_IntermediateMemory,IL-17F
OLAH,-18.050383,0.986545001796216,1,B_IntermediateMemory_IL-18,B_IntermediateMemory,IL-18
OLAH,0.5710724,0.99087088557049,1,B_IntermediateMemory_IL-19,B_IntermediateMemory,IL-19
OLAH,-18.050383,0.98645426916125,1,B_IntermediateMemory_IL-1Ra,B_IntermediateMemory,IL-1Ra
OLAH,-18.050383,0.98456085142123,1,B_IntermediateMemory_IL-2,B_IntermediateMemory,IL-2
OLAH,1.2911438,0.97181485201712,1,B_IntermediateMemory_IL-20,B_IntermediateMemory,IL-20
OLAH,-18.050383,0.984711418552635,1,B_IntermediateMemory_IL-21,B_IntermediateMemory,IL-21
OLAH,-18.050383,0.986615607167715,1,B_IntermediateMemory_IL-22,B_IntermediateMemory,IL-22
OLAH,-18.050383,0.985356445030663,1,B_IntermediateMemory_IL-23,B_IntermediateMemory,IL-23
OLAH,0.36024404,0.988763512951018,1,B_IntermediateMemory_IL-24,B_IntermediateMemory,IL-24
OLAH,0.39809757,0.989856052350741,1,B_IntermediateMemory_IL-26,B_IntermediateMemory,IL-26
OLAH,-18.050383,0.985728263661566,1,B_IntermediateMemory_IL-27,B_IntermediateMemory,IL-27
OLAH,0.565827,0.969955777206342,1,B_IntermediateMemory_IL-3,B_IntermediateMemory,IL-3
OLAH,0.11477928,0.992646038179499,1,B_IntermediateMemory_IL-31,B_IntermediateMemory,IL-31
OLAH,-18.050383,0.9872129151039,1,B_IntermediateMemory_IL-32-beta,B_IntermediateMemory,IL-32-beta
OLAH,1.6699387,0.972438596123017,1,B_IntermediateMemory_IL-33,B_IntermediateMemory,IL-33
OLAH,0.24863204,0.992698313633807,1,B_IntermediateMemory_IL-34,B_IntermediateMemory,IL-34
OLAH,-18.050383,0.987227320343015,1,B_IntermediateMemory_IL-35,B_IntermediateMemory,IL-35
OLAH,0.71891165,0.978085300488767,1,B_IntermediateMemory_IL-36-alpha,B_IntermediateMemory,IL-36-alpha
OLAH,-18.050383,0.985256139110773,1,B_IntermediateMemory_IL-36Ra,B_IntermediateMemory,IL-36Ra
OLAH,1.2195766,0.960493861990888,1,B_IntermediateMemory_IL-4,B_IntermediateMemory,IL-4
OLAH,-18.050383,0.986405522567819,1,B_IntermediateMemory_IL-5,B_IntermediateMemory,IL-5
OLAH,-18.050383,0.986411132976992,1,B_IntermediateMemory_IL-6,B_IntermediateMemory,IL-6
OLAH,1.690305,0.944756525840328,1,B_IntermediateMemory_IL-7,B_IntermediateMemory,IL-7
OLAH,-18.050383,0.98646555805818,1,B_IntermediateMemory_IL-8,B_IntermediateMemory,IL-8
