ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0019884,antigen processing and presentation of exogenous antigen,11/488,49/18870,3.70922268499152e-08,9.67797146675013e-05,8.30106432554765e-05,CD1E/CD1B/CLEC4A/CD1C/HLA-DQB2/HLA-DOB/HLA-DOA/HLA-DQB1/HLA-DQA1/HLA-DRB1/HLA-DPB1,11
GO:0002399,MHC class II protein complex assembly,7/488,16/18870,6.92768179438091e-08,9.67797146675013e-05,8.30106432554765e-05,HLA-DQB2/HLA-DOB/HLA-DOA/HLA-DQB1/HLA-DQA1/HLA-DRB1/HLA-DPB1,7
GO:0002503,peptide antigen assembly with MHC class II protein complex,7/488,16/18870,6.92768179438091e-08,9.67797146675013e-05,8.30106432554765e-05,HLA-DQB2/HLA-DOB/HLA-DOA/HLA-DQB1/HLA-DQA1/HLA-DRB1/HLA-DPB1,7
GO:0033627,cell adhesion mediated by integrin,13/488,88/18870,4.04656299648155e-07,0.000299693374893755,0.000257055312828787,ITGA4/PIK3CG/PLAU/ITGAX/VTN/NEXMIF/MUC1/ITGAE/CXCL13/FBN1/ITGAV/ADAM9/ITGB8,13
GO:0006935,chemotaxis,30/488,468/18870,5.22463278830822e-06,0.0029773553868576,0.00255376022457113,CCL17/CAMK1D/CCL22/PIK3CG/MAP2K1/TNFRSF11A/SEMA7A/TUBB2B/PLXNA3/BSG/CCR6/HSPB1/CSF1/NR4A1/SCRIB/PLAU/PRKD1/PDGFA/CCL8/CSF3R/SEMA4C/CXCL8/EFNA5/CXCL13/ACKR3/RAB13/CXCR4/CYP7B1/ITGAV/ANO6,30
GO:0042330,taxis,30/488,470/18870,5.68333168572198e-06,0.0029773553868576,0.00255376022457113,CCL17/CAMK1D/CCL22/PIK3CG/MAP2K1/TNFRSF11A/SEMA7A/TUBB2B/PLXNA3/BSG/CCR6/HSPB1/CSF1/NR4A1/SCRIB/PLAU/PRKD1/PDGFA/CCL8/CSF3R/SEMA4C/CXCL8/EFNA5/CXCL13/ACKR3/RAB13/CXCR4/CYP7B1/ITGAV/ANO6,30
GO:0042060,wound healing,27/488,423/18870,1.66820803615521e-05,0.00582621656627208,0.00499730740655267,CDKN1A/TGFBR1/PIK3CG/AHNAK/PPARG/CLIC1/HSPB1/SERPING1/FERMT2/SRC/SCRIB/PLAU/PDGFA/VTN/TNF/F5/FZD6/MYLK/PRKG1/PAPSS2/TREML1/TFPI2/CXCR4/GNA12/ANO6/TFPI/SLC7A11,27
GO:0007596,blood coagulation,18/488,224/18870,2.26473817921078e-05,0.00730116746851721,0.00626241366963952,PIK3CG/CLIC1/HSPB1/SERPING1/SRC/PLAU/PDGFA/VTN/F5/FZD6/PRKG1/PAPSS2/TREML1/TFPI2/GNA12/ANO6/TFPI/SLC7A11,18
GO:0050817,coagulation,18/488,229/18870,3.04042504128522e-05,0.00849494756535091,0.00728635194104493,PIK3CG/CLIC1/HSPB1/SERPING1/SRC/PLAU/PDGFA/VTN/F5/FZD6/PRKG1/PAPSS2/TREML1/TFPI2/GNA12/ANO6/TFPI/SLC7A11,18
GO:0007599,hemostasis,18/488,231/18870,3.41167592780171e-05,0.00855688682110758,0.00733947895718454,PIK3CG/CLIC1/HSPB1/SERPING1/SRC/PLAU/PDGFA/VTN/F5/FZD6/PRKG1/PAPSS2/TREML1/TFPI2/GNA12/ANO6/TFPI/SLC7A11,18
GO:0043114,regulation of vascular permeability,8/488,50/18870,3.90428573609452e-05,0.00855688682110758,0.00733947895718454,PTP4A3/FERMT2/SRC/ADM/BMP6/NPR1/CTNNBIP1/ZEB2,8
GO:0002437,inflammatory response to antigenic stimulus,10/488,80/18870,3.97371757746204e-05,0.00855688682110758,0.00733947895718454,IL2RA/KDM6B/SRC/BTK/TNF/FCGR3A/IL31RA/PLK2/HLA-DRB1/FOSL2,10
GO:0002573,myeloid leukocyte differentiation,18/488,235/18870,4.27716733723728e-05,0.00855688682110758,0.00733947895718454,IRF4/TRIB1/MITF/APP/TNFRSF11A/TNFRSF11B/SOCS1/PPARG/BATF3/CSF1/SRC/TNF/IL31RA/CTNNBIP1/FBN1/HLA-DRB1/FOSL2/ITGB8,18
GO:0001649,osteoblast differentiation,19/488,257/18870,4.28763119167882e-05,0.00855688682110758,0.00733947895718454,TWSG1/SEMA7A/PPARG/CLIC1/CRIM1/FERMT2/VCAN/ZHX3/PRKD1/MAPK11/ALYREF/TP53INP2/TNF/FGF9/BMP6/CTNNBIP1/ACVR2A/FOSL2/RUNX2,19
GO:1903034,regulation of response to wounding,15/488,173/18870,4.52257824306498e-05,0.00861551155303878,0.00738976301438607,STK24/MAP2K1/PTPRF/SERPING1/FERMT2/FKBP1B/PLAU/PDGFA/VTN/TNF/MYLK/PRKG1/CXCR4/ANO6/TFPI,15
GO:0098903,regulation of membrane repolarization during action potential,4/488,10/18870,8.19736196957495e-05,0.0149370191367342,0.012811895252219,CACNA2D1/RNF207/CACNB3/NOS1AP,4
GO:0022407,regulation of cell-cell adhesion,28/488,493/18870,9.22034714935206e-05,0.016101031209556,0.01381030066449,CD80/TWSG1/ITGA4/GCNT1/SPINT2/LGALS1/CASP3/IL2RA/SOCS1/GCNT2/SRC/SCRIB/CD70/TNF/NEXMIF/BMP6/PRKG1/HLA-DQB2/HLA-DOB/EFNA5/CXCL13/HLA-DOA/RDX/HLA-DQB1/HLA-DQA1/IDO1/HLA-DRB1/HLA-DPB1,28
GO:0071674,mononuclear cell migration,16/488,207/18870,0.000101265145379309,0.0169760889713873,0.0145608619566459,CCL17/ITGA4/CCL22/PIK3CG/APP/TNFRSF11A/CCR6/CSF1/TNF/CCL8/CXCL13/CXCR4/CYP7B1/GCSAM/CD200/ANO6,16
GO:0014812,muscle cell migration,11/488,110/18870,0.000131552882704172,0.0212053127466609,0.0181883843900707,TRIB1/NET1/GRB10/SRC/PLXNA1/PLAU/PDGFA/VTN/FGF9/PRKG1/GNA12,11
GO:0007229,integrin-mediated signaling pathway,11/488,111/18870,0.000142687716028447,0.021255684640281,0.018231589759148,ITGA4/SEMA7A/FERMT2/SRC/PRKD1/ITGAX/LAMC1/ITGAE/ITGAV/ADAM9/ITGB8,11
GO:1904705,regulation of vascular associated smooth muscle cell proliferation,10/488,93/18870,0.000144610894452951,0.021255684640281,0.018231589759148,CDKN1A/ERN1/JUN/PPARG/SRC/TNF/FGF9/PRKG1/CALCRL/GNA12,10
GO:0045860,positive regulation of protein kinase activity,19/488,282/18870,0.000147080614308793,0.021255684640281,0.018231589759148,CDKN1A/PIK3CG/TXN/MAP2K1/ERN1/MAP3K13/LRP8/TNFRSF11A/FERMT2/CSF1/CASS4/SRC/PDGFA/CLSPN/TNF/TNFSF15/LRRK2/PDGFC/ADAM9,19
GO:0034113,heterotypic cell-cell adhesion,8/488,61/18870,0.000167040707997624,0.0219237011193165,0.0188045660054668,ITGA4/GCNT2/ITGAX/TNF/NRCAM/DSG2/ITGAV/CD200,8
GO:1990874,vascular associated smooth muscle cell proliferation,10/488,95/18870,0.000172748770240603,0.0219237011193165,0.0188045660054668,CDKN1A/ERN1/JUN/PPARG/SRC/TNF/FGF9/PRKG1/CALCRL/GNA12,10
GO:0019932,second-messenger-mediated signaling,20/488,310/18870,0.000177733303356415,0.0219237011193165,0.0188045660054668,CCR6/LMCD1/BTK/FKBP1B/DDAH2/PRKD1/ADGRG6/TNF/FCGR3A/ADM/NPR1/PRKG1/CXCL8/GUCY1B1/NOS1AP/GUCY1A1/ACKR3/LRRK2/CXCR4/DMD,20
GO:0070374,positive regulation of ERK1 and ERK2 cascade,16/488,218/18870,0.00018452689914205,0.0219237011193165,0.0188045660054668,CCL17/CCL22/MAP2K1/APP/TNFRSF11A/SEMA7A/GCNT2/FERMT2/SRC/TNFAIP8L3/PDGFA/TNF/CCL8/ACKR3/PDGFC/HLA-DRB1,16
