,n_cells
TSPAN6,15700
TNMD,585
DPM1,1984849
SCYL3,2042340
C1orf112,1378182
FGR,1534399
CFH,520711
FUCA2,917621
GCLC,1752257
NFYA,1834579
STPG1,248337
NIPAL3,2847856
LAS1L,1428143
ENPP4,914774
SEMA3F,4843
CFTR,49060
ANKIB1,6308073
CYP51A1,1141263
KRIT1,3937780
RAD52,1185048
MYH16,35867
BAD,277512
LAP3,4766365
CD99,3327889
HS3ST1,293768
AOC1,49621
WNT16,29107
HECW1,188113
MAD1L1,4491905
LASP1,3934097
SNX11,796207
TMEM176A,453244
M6PR,2633439
KLHL13,148877
CYP26B1,472
ICA1,227307
DBNDD1,10436
ALS2,1392478
CASP10,3203377
CFLAR,8149155
TFPI,167360
NDUFAF7,1427324
RBM5,6180836
MTMR7,41516
SLC7A2,10715
ARF5,506280
SARM1,1778100
POLDIP2,635338
PLXND1,2370952
AK2,1804062
CD38,3452047
FKBP4,911099
KDM1A,2373120
RBM6,7827878
CAMKK1,353252
RECQL,2858887
VPS50,4034890
HSPB6,350
ARHGAP33,150438
NDUFAB1,631392
PDK4,221132
SLC22A16,129458
ZMYND10,34089
ABCB5,25497
ARX,630
SLC25A13,3562096
ST7,1685728
CDC27,4689760
SLC4A1,12498
CALCR,22911
HCCS,422762
DVL2,491859
PRSS22,4935
UPF1,2125586
SKAP2,3935028
SLC25A5,1334929
MCUB,6923326
POLR2J,280513
DHX33,780681
MEOX1,132148
THSD7A,35308
LIG3,1098533
RPAP3,2166562
ACSM3,1043075
REXO5,71382
CIAPIN1,769226
SPPL2B,1088412
ATOSB,384496
COPZ2,46652
PRKAR2B,492151
MSL3,3631077
CREBBP,7815737
TSPOAP1,1047990
MPO,28190
PON1,3982
GCFC2,1818496
WDR54,175347
CROT,1057375
ABCB4,402232
KMT2E,9039333
RHBDD2,783017
SOX8,36264
IBTK,3428299
ZNF195,1551552
MYCBP2,9676527
FBXL3,3562490
ITGAL,6254464
PDK2,252829
ITGA3,303284
ZFX,4644730
LAMP2,3233503
ITGA2B,42781
ASB4,3532
GDE1,855274
REX1BD,706940
CRLF1,73182
OSBPL7,733252
TMEM98,3369
YBX2,934
MAP3K14,4423213
ABCC8,9156
CACNG3,27080
TMEM132A,25746
AP2B1,5181814
TAC1,263
ZNF263,697058
CX3CL1,2026
SPATA20,148154
CACNA1G,8961
TNFRSF12A,35700
MAP3K9,517951
RALA,4749610
BAIAP2L1,158343
KDM7A,6493262
ETV1,17218
AGK,2434798
ALDH3B1,602105
TTC22,431669
PHTF2,4908822
CCL26,13030
FARP2,2511799
USH1C,1753
GGCT,555796
DBF4,1309617
TBXA2R,51900
IFRD1,1805802
LGALS14,2330
COX10,2815800
GTF2IRD1,413572
PAF1,641757
VPS41,4864586
ARHGAP44,103336
ELAC2,1263018
SCIN,270052
ARSD,544590
PNPLA4,192330
MYH13,16187
ADIPOR2,3559864
CDKL3,696463
UPP2,687424
PRSS21,36600
MARK4,3036897
PROM1,24469
CCDC124,451509
CEACAM21,3310853
PAFAH1B1,7005117
NOS2,8185
DNAH9,100281
BLTP2,3803533
SLC13A2,2903
GAS7,3219957
TRAPPC6A,672563
MATK,283671
CEACAM7,1369
CD79B,453680
SCN4A,8134
ST7L,1902912
TKTL1,18160
PAX6,5195
RPUSD1,180467
RHBDF1,13721
LUC7L,3300764
CACNA2D2,323638
BAIAP3,40320
TSR3,383266
PIGQ,289897
CRAMP1,2200518
TEAD3,15015
SELE,3473
DNAJC11,2344519
FMO3,1672
MYLIP,1453805
NOX1,21085
E2F2,49106
PSMB1,2218144
SYN1,43996
JARID2,6663518
CDKL5,1460685
CAMK1G,11562
CDK11A,1827237
NADK,2468627
TFAP2B,809
TFAP2D,2629
DLEC1,354893
CYTH3,1435579
ADAM22,606975
SYPL1,1668869
CYB561,566256
SPAG9,4897308
CELSR3,77538
